
2026-03-09 01:02:11,VNM,63.2,67.6,58.8,647180,62.2,22430,62.3,17970,62.4,920,62.4,10,-1.3,62.5,2810,62.6,1340,62.7,1080,63,62.54,62.2,NA,NA,75719,127610
2026-03-09 01:02:11,VPB,27,28.85,25.15,1545460,26.55,29860,26.6,43410,26.65,22530,26.65,380,-1.3,26.7,10970,26.75,7650,26.8,2120,27,26.78,26.65,NA,NA,133508,469900
2026-03-09 01:02:11,VPL,75.5,80.7,70.3,47830,76.4,60,76.6,20,76.7,230,76.7,10,1.6,77,280,77.1,280,77.2,210,78,76.76,74.9,NA,NA,13500,640
2026-03-09 01:02:11,VRE,27,28.85,25.15,366620,26.1,1060,26.15,2760,26.2,1920,26.25,20,-2.8,26.25,90,26.3,170,26.35,6380,27,26.58,26.25,NA,NA,44112,101930
2026-03-09 03:36:47,ACB,23.3,24.9,21.7,2198480,NA,NA,NA,NA,NA,NA,21.7,100,-6.9,21.7,120110,21.75,91570,21.8,39820,22.65,21.82,21.7,NA,NA,26971,251420
2026-03-09 03:36:47,BID,43.55,46.55,40.55,393060,NA,NA,NA,NA,NA,NA,40.55,40,-6.9,40.55,333050,40.6,5560,40.65,9400,41,40.58,40.55,NA,NA,17825,51400
2026-03-09 03:36:47,CTG,35.65,38.1,33.2,1196400,NA,NA,NA,NA,NA,NA,33.2,50,-6.9,33.2,472280,33.25,28080,33.3,16230,33.5,33.21,33.2,NA,NA,5071,106210
2026-03-09 03:36:47,DGC,73.1,78.2,68,665770,72,2280,72.1,1280,72.2,1180,72.3,200,-1.1,72.3,70,72.5,40,72.6,1040,77.2,74.44,70,NA,NA,42920,97010
2026-03-09 03:36:47,FPT*,81.6,87.3,75.9,1400080,NA,NA,NA,NA,NA,NA,75.9,10,-7,75.9,509140,76,27300,76.1,3720,76.7,75.97,75.9,NA,NA,115559,317170
2026-03-09 03:36:47,GAS,112.1,119.9,104.3,250410,107.1,270,107.3,10,107.8,60,107.9,10,-3.7,107.9,80,108,40,108.3,50,116.3,110.89,104.3,NA,NA,31090,15660
2026-03-09 03:36:47,GVR,37.75,40.35,35.15,155850,NA,NA,NA,NA,NA,NA,35.15,10,-6.9,35.15,406950,35.2,23190,35.3,960,35.15,35.15,35.15,NA,NA,10420,49158902
2026-03-09 03:36:47,HDB,25.9,27.7,24.1,1854510,NA,NA,NA,NA,NA,NA,24.1,10,-6.9,24.1,132630,24.15,10410,24.2,5980,25.5,24.15,24.1,NA,NA,91178,145503
2026-03-09 03:36:47,HPG,27.25,29.15,25.35,7916450,NA,NA,NA,NA,NA,NA,25.35,10,-7,25.35,454390,25.4,106170,25.45,20900,26.15,25.43,25.35,NA,NA,484869,403040
2026-03-09 03:36:47,LPB,42.25,45.2,39.3,118100,39.9,2030,39.95,2420,40,290,40,10,-5.3,40.05,80,40.1,530,40.25,1350,42.05,41.1,40,NA,NA,7280,12630
2026-03-09 03:36:47,MBB,26.7,28.55,24.85,4153530,NA,NA,NA,NA,NA,NA,24.85,20,-6.9,24.85,695730,24.9,39110,24.95,51360,25.65,24.93,24.85,NA,NA,151970,153870
2026-03-09 03:36:47,MSN,73.3,78.4,68.2,333590,NA,NA,NA,NA,NA,NA,68.2,30,-7,68.2,534080,68.3,2520,68.4,1710,70,68.22,68.2,NA,NA,7451,26230
2026-03-09 03:36:47,MWG,82.7,88.4,77,331210,NA,NA,NA,NA,NA,NA,77,10,-6.9,77,824270,77.1,600,77.2,360,77,77,77,NA,NA,52650,3988
2026-03-09 03:36:47,PLX,62,66.3,57.7,798710,58.1,2630,58.2,150,58.3,100,58.4,20,-5.8,58.4,280,58.5,250,58.6,10,65.9,60.52,57.7,NA,NA,72150,182870
2026-03-09 03:36:47,SAB,45.6,48.75,42.45,212730,NA,NA,NA,NA,NA,NA,42.45,10,-6.9,42.45,6120,42.5,4320,42.55,1590,44,42.65,42.45,NA,NA,10020,6980
2026-03-09 03:36:47,SHB,15.4,16.45,14.35,2918690,NA,NA,NA,NA,NA,NA,14.35,10,-6.8,14.35,3218220,14.4,121290,14.45,103470,14.9,14.4,14.35,NA,NA,7560,24298
2026-03-09 03:36:47,SSB*,17,18.15,15.85,99210,16,2730,16.05,5440,16.1,9890,16.15,30,-5,16.15,2510,16.2,2290,16.25,1200,16.65,16.34,16.1,NA,NA,4560,5440
2026-03-09 03:36:47,SSI,31.5,33.7,29.3,2553390,NA,NA,NA,NA,NA,NA,29.3,10,-7,29.3,3353970,29.35,83350,29.4,55300,29.45,29.3,29.3,NA,NA,28847,9851
2026-03-09 03:36:47,STB,63.8,68.2,59.4,1351220,60.6,1290,60.7,1430,60.8,570,60.8,70,-4.7,60.9,150,61,3500,61.1,3720,62.2,60.64,59.4,NA,NA,287870,223540
2026-03-09 03:36:47,TCB,31.45,33.65,29.25,1987880,NA,NA,NA,NA,NA,NA,29.25,10,-7,29.25,480350,29.3,78560,29.35,27660,29.8,29.27,29.25,NA,NA,258195,104721
2026-03-09 03:36:47,TPB,16.85,18,15.7,1543720,NA,NA,NA,NA,NA,NA,15.7,20,-6.8,15.7,379680,15.75,47880,15.8,24770,16.5,15.74,15.7,NA,NA,51995,95820
2026-03-09 03:36:47,VCB,61.6,65.9,57.3,1472570,NA,NA,NA,NA,NA,NA,57.3,10,-7,57.3,84450,57.4,28790,57.5,7680,59.7,57.47,57.3,NA,NA,88821,93120
2026-03-09 03:36:47,VHM,95,101.6,88.4,673410,NA,NA,NA,NA,88.4,12990,88.4,250,-6.9,88.5,7250,88.6,2410,88.7,680,89.9,88.45,88.4,NA,NA,17511,130710
2026-03-09 03:36:47,VIB,16.7,17.85,15.55,1262870,NA,NA,NA,NA,NA,NA,15.55,480,-6.9,15.55,38800,15.6,45240,15.65,11870,15.9,15.59,15.55,NA,NA,23560,29330
2026-03-09 03:36:47,VIC,156.5,167.4,145.6,232530,NA,NA,145.6,62000,145.7,990,145.9,20,-6.8,146,2030,146.4,110,146.5,200,156,146.87,145.6,NA,NA,91862,67730
2026-03-09 03:36:47,VJC,156.4,167.3,145.5,37810,NA,NA,NA,NA,NA,NA,145.5,30,-7,145.5,3860,145.6,20,145.7,200,149.6,146.41,145.5,NA,NA,1240,16460
2026-03-09 03:36:47,VNM,62.4,66.7,58.1,959850,NA,NA,NA,NA,NA,NA,58.1,200,-6.9,58.1,114600,58.2,7040,58.3,7250,59.1,58.3,58.1,NA,NA,145458,123743
2026-03-09 03:36:47,VPB,26.65,28.5,24.8,1414080,NA,NA,NA,NA,NA,NA,24.8,40,-6.9,24.8,1514310,24.85,38750,24.9,13150,25.2,24.81,24.8,NA,NA,22362,101020
2026-03-09 03:36:47,VPL,76.7,82,71.4,55810,NA,NA,71.4,4240,71.5,410,71.5,100,-6.8,71.9,90,72,280,72.1,200,76.1,71.65,71.4,NA,NA,6340,7750
2026-03-09 03:36:47,VRE,26.25,28.05,24.45,225860,NA,NA,NA,NA,NA,NA,24.45,100,-6.9,24.45,267760,24.5,8750,24.55,1760,25,24.46,24.45,NA,NA,10585,78140
2026-03-09 05:11:20,ACB,23.3,24.9,21.7,2454630,NA,NA,NA,NA,NA,NA,21.7,20,-6.9,21.7,311600,21.75,85030,21.8,14460,22.65,21.81,21.7,NA,NA,27031,284420
2026-03-09 05:11:20,BID,43.55,46.55,40.55,432630,NA,NA,NA,NA,NA,NA,40.55,50,-6.9,40.55,411320,40.6,5090,40.65,8980,41,40.58,40.55,NA,NA,18095,51400
2026-03-09 05:11:20,CTG,35.65,38.1,33.2,1373830,NA,NA,NA,NA,NA,NA,33.2,30,-6.9,33.2,688700,33.25,27850,33.3,18400,33.5,33.21,33.2,NA,NA,5221,129740
2026-03-09 05:11:20,DGC,73.1,78.2,68,755930,70.2,1250,70.3,1780,70.4,780,70.5,10,-3.6,70.5,240,70.6,330,70.7,200,77.2,74.07,70,NA,NA,43510,113874
2026-03-09 05:11:20,FPT*,81.6,87.3,75.9,1549480,NA,NA,NA,NA,NA,NA,75.9,10,-7,75.9,622690,76,26170,76.1,4630,76.7,75.96,75.9,NA,NA,117889,318129
2026-03-09 05:11:20,GAS,112.1,119.9,104.3,365930,NA,NA,NA,NA,104.3,6890,104.4,50,-6.9,104.4,730,104.5,30,105,650,116.3,109.08,104.3,NA,NA,43990,34270
2026-03-09 05:11:20,GVR,37.75,40.35,35.15,159010,NA,NA,NA,NA,NA,NA,35.15,10,-6.9,35.15,460260,35.2,22880,35.3,1170,35.15,35.15,35.15,NA,NA,10420,49158902
2026-03-09 05:11:20,HDB,25.9,27.7,24.1,2016260,NA,NA,NA,NA,NA,NA,24.1,50,-6.9,24.1,270720,24.15,19740,24.2,5880,25.5,24.14,24.1,NA,NA,91838,170363
2026-03-09 05:11:20,HPG,27.25,29.15,25.35,8241970,NA,NA,NA,NA,NA,NA,25.35,300,-7,25.35,1334190,25.4,110460,25.45,20170,26.15,25.43,25.35,NA,NA,487299,422120
